,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
N-Undecanoylglycine__Cp,N-Undecanoylglycine,N-Undecanoylglycine_m243.183_r9.24Cp,0.000969719,0.003220001,0.014293382,0.002943005,0.002853803,0.001901769,0.007159024,0.015105634,0.04889944,0.014534876,0.005934043,0.007358606
Undecanedicarboxylate__Cp,Undecanedicarboxylate,Undecanedicarboxylate_m244.166_r3.98Cp,0.000750235,0.000403193,0.000356457,0.001165182,0.001288442,0.000368759,0.0007937,0.001391857,0.000973598,0.000700848,0.000844841,0.001396824
Undecanedicarboxylic acid__Cn,Undecanedicarboxylic acid,Undecanedicarboxylic acid_m244.167_r4.63Cn,0.006882813,0.007977759,0.015539648,0.013095622,0.011590094,0.010167509,0.009564332,0.015307456,0.012249948,0.008704217,0.011068601,0.01286607
Hydroxymyristic acid__Cn,Hydroxymyristic acid_,Hydroxymyristic acid___m244.204_r6.88Cn,0.008351097,0.012125447,0.016207241,0.012490317,0.01401751,0.010396469,0.008352971,0.019906395,0.015645229,0.011058879,0.013183727,0.013067195
Hydroxydodecanedioate__Cn,Hydroxydodecanedioate,Hydroxydodecanedioate_m246.146_r3.51Cn,0.000572767,0.030271337,0.052452876,0.057107198,0.072845856,0.04525699,0.098816417,0.058309441,0.063061408,0.043304068,0.06192319,0.082658894
Hydroxydodecanedioate__Cp,Hydroxydodecanedioate,Hydroxydodecanedioate iso_m246.146_r3.1Cp,0.001145095,0.000598681,0.002807361,6.52E-05,0.000568076,0.000283333,0.000485038,0.003265881,0.001165202,0.000379794,0.001010332,0.000622694
Hydroxydodecanedioate iso__Cp,Hydroxydodecanedioate iso,Hydroxydodecanedioate _m246.146_r1.9Cp,0.006480958,0.002336179,0.008762877,0.006280603,0.006082791,0.003747698,0.009836831,0.009027069,0.005453313,0.003473705,0.005323712,0.007778125
MG_10-0__Cp,MG_10-0_,MG_10-0__m246.181_r3.11Cp,0.001155241,0.001283094,0.001101353,0.000350405,0.003964341,0.000791876,0.001757336,0.002354514,0.00220386,0.001380266,0.001973438,0.00337905
QH2__Cn,QH2,QH2_m252.135_r4.63Cn,0.019073621,0.013992349,0.016597227,0.015244372,0.025423958,0.014210457,0.02841511,0.02272145,0.02238578,0.012300282,0.029962284,0.0275952
Hexadecenoic Acid__Cp,Hexadecenoic Acid,Hexadecenoic Acid_m254.223_r7.76Cp,0.00066255,0.000331211,0.000647184,0.00082014,0.001040319,0.000567579,0.001074502,0.000769822,0.000799826,0.000525078,0.000630266,0.000934268
Palmitoleic acid__Cp,Palmitoleic acid,Palmitoleic acid_m254.224_r8.4Cp,0.008122884,0.005286694,0.006580616,0.010684599,0.010047815,0.005349281,0.011113571,0.010854124,0.008615381,0.005035129,0.005563757,0.009658491
Palmitelaidic acid__Cp,Palmitelaidic acid,Palmitelaidic acid_m254.224_r5.8Cp,0.00128828,0.000685292,0.001240251,0.001559734,0.002235054,0.001349691,0.002076148,0.002537277,0.002140059,0.001202779,0.001189543,0.001781879
Ketopentadecanoic acid__Cn,Ketopentadecanoic acid,Ketopentadecanoic acid_m256.204_r6.65Cn,0.026613926,0.026084773,0.038139192,0.032423144,0.053593569,0.03414215,0.057265972,0.039533009,0.045231062,0.028171159,0.041309408,0.058808921
N-Lauroylglycine__Cp,N-Lauroylglycine,N-Lauroylglycine_m257.198_r1.53Cp,0.000605943,0.000513615,0.001192635,0.000740872,0.001962699,0.000788003,0.001229867,0.001679923,0.001779411,0.00090142,0.001012022,0.001621771
Hydroxypentadecanoic acid__Cn,Hydroxypentadecanoic acid,Hydroxypentadecanoic acid_m258.22_r6.88Cn,0.017180432,0.016024373,0.029677848,0.026008891,0.030671906,0.024715446,0.033277093,0.026929843,0.031760725,0.017381942,0.026959238,0.035686218
Hydroxyhexadecatetraenoic acid__Cn,Hydroxyhexadecatetraenoic acid_,Hydroxyhexadecatetraenoic acid___m264.172_r4.93Cn,0.005305008,0.009628821,0.011639019,0.00816145,0.006509229,0.00692409,0.006024624,0.009495448,0.014986292,0.007139731,0.01060893,0.008810399
Heptadecenoate__Cp,Heptadecenoate,Heptadecenoate_m268.239_r6.42Cp,0.005430195,0.002915372,0.005856121,0.006147715,0.008060247,0.004881244,0.007665112,0.009349939,0.007343983,0.004146827,0.004327576,0.006568683
Keto palmitate__Cp,Keto palmitate,Keto palmitate_m270.219_r5.85Cp,0.001103673,0.000479905,0.001113392,0.001302125,0.001180141,0.000501561,0.001187688,0.001481531,0.000789422,0.00058112,0.000780914,0.001178746
Oxopalmitic acid__Cp,Oxopalmitic acid,Oxopalmitic acid_m270.219_r6.72Cp,0.002243424,0.001169245,0.00269083,0.003045865,0.002296124,0.001138354,0.002370721,0.00390386,0.001994437,0.001375493,0.002020141,0.002763875
Oxo-hexadecanoic acid__Cn,Oxo-hexadecanoic acid_,Oxo-hexadecanoic acid___m270.22_r7.21Cn,0.060541294,0.0652212,0.068772675,0.05318229,0.105116262,0.059476908,0.106312527,0.079918746,0.096851425,0.065817956,0.10102007,0.132965244
Hydroxyhexadecanoic acid__Cn,Hydroxyhexadecanoic acid_,Hydroxyhexadecanoic acid___m272.235_r6.53Cn,0.098342984,0.103939959,0.13309889,0.122652525,0.155110326,0.085160794,0.159294864,0.146087599,0.147969054,0.101865612,0.12649298,0.172519768
Hydroxypalmitic acid__Cn,Hydroxypalmitic acid_,Hydroxypalmitic acid___m272.235_r7.34Cn,0.028531622,0.035870361,0.049286108,0.036865388,0.035263882,0.027351344,0.03838698,0.056390513,0.040778336,0.027751586,0.033409833,0.045805219
