,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
12S-HpETE-LPC_LysoPC_20-4-O2__Cn,12S-HpETE-LPC_LysoPC_20-4-O2_,12S-HpETE-LPC_LysoPC_20-4-O2__m575.323_r7.24Cn,0.088477318,0.151324377,0.094525313,0.055671334,0.137212584,0.099613096,0.110406132,0.1072087,0.131412205,0.091154194,0.093795512,0.129751811
OOV-PE__Cn,OOV-PE,OOV-PE_m577.338_r7.51Cn,0.448666863,0.556893084,0.491606753,0.338874616,0.666754623,0.425272782,0.558465955,0.636047434,0.616358121,0.401952278,0.378046696,0.563155961
LysoPC_21-1__Cn,LysoPC_21-1_,LysoPC_21-1__m577.372_r7.6Cn,0.137238304,0.205503364,0.356347233,0.180919963,0.276709999,0.248753111,0.166088701,0.44032879,0.419038256,0.226685458,0.166079999,0.286332084
Phthioceranic acid __Cn,Phthioceranic acid ,Phthioceranic acid _m578.6_r8.82Cn,0.083456673,0.058137582,0.087121719,0.065289719,0.092598856,0.080472951,0.129997631,0.111363083,0.110661243,0.044939024,0.088875506,0.098575529
OS-PE__Cn,OS-PE,OS-PE_m579.319_r7Cn,0.034321041,0.034929956,0.036171923,0.056985254,0.034958982,0.030146383,0.030092981,0.050481871,0.038088569,0.023850806,0.031334987,0.037124246
LysoPS_22-1 i__Cp,LysoPS_22-1 i,LysoPS_22-1 i_m579.351_r7.39Cp,0.001890578,0.001074626,0.00120838,0.002204625,0.001075438,0.000640339,0.001701936,0.002488698,0.00078125,0.00045212,0.000758427,0.000837657
LysoPS_22-1__Cp,LysoPS_22-1,LysoPS_22-1_m579.352_r8.12Cp,0.004974948,0.00413262,0.006186501,0.013136642,0.005453728,0.004013349,0.004513165,0.00910842,0.004505786,0.002999464,0.003918618,0.005676241
POB-PC__Cn,POB-PC,POB-PC_m579.354_r7.56Cn,0.039867875,0.094134944,0.111328908,0.182390764,0.095962485,0.08173591,0.055931741,0.182903002,0.122135407,0.05998808,0.045591665,0.09187794
POV-PG__Cn,POV-PG,POV-PG_m582.317_r4.03Cn,0.006661578,0.004766103,0.008673161,0.007833043,0.006982717,0.005678839,0.009977187,0.01076168,0.00958392,0.004233189,0.008648211,0.007355689
Hydroxyvitamin D2-glucuronide__Cn,Hydroxyvitamin D2-glucuronide_,Hydroxyvitamin D2-glucuronide___m588.363_r4.95Cn,0.00617488,0.012982377,0.011579964,0.008765596,0.002518844,0.007834329,0.0062146,0.015614013,0.014477182,0.007469099,0.009087113,0.008711129
ADP-glucose__Cn,ADP-glucose_,ADP-glucose___m589.083_r4.69Cn,0.007587649,0.010851897,0.013658347,0.010456651,0.009705216,0.011665106,0.009292348,0.021445934,0.017972245,0.009573447,0.00999805,0.011677592
OHOOA-PA__Cn,OHOOA-PA,OHOOA-PA_m590.321_r4.74Cn,0.007310696,0.005872602,0.012292828,0.009631651,0.005712153,0.005013513,0.011025933,0.022155112,0.009260654,0.004728343,0.00621039,0.008040069
"DG_17-1,17-2,0-0__Cn","DG_17-1,17-2,0-0_","DG_17-1,17-2,0-0____m590.489_r7.88Cn",0.007177139,0.010990969,0.022655931,0.013570205,0.015563076,0.012556051,0.010496761,0.018783543,0.037976487,0.011651278,0.024069226,0.030364245
OHHdiA-PA__Cn,OHHdiA-PA,OHHdiA-PA_m592.303_r4.02Cn,0.007362129,0.006223345,0.02331287,0.013733392,0.006116998,0.007031896,0.009247183,0.033469589,0.01029216,0.004742898,0.008061826,0.010932266
Arachidyl arachidate__Cn,Arachidyl arachidate,Arachidyl arachidate_m592.616_r8.87Cn,0.033421689,0.027883031,0.038525854,0.030703096,0.040405627,0.03525726,0.052708526,0.050079366,0.049071369,0.021551777,0.037470151,0.043084217
"LysoPC_16-0,5-0-CHO__Cn","LysoPC_16-0,5-0-CHO_","LysoPC_16-0,5-0-CHO___m593.368_r7.54Cn",0.101349871,0.134273204,0.179342073,0.117563987,0.156108801,0.132082934,0.123269775,0.25623402,0.242282519,0.113254707,0.098680665,0.161425715
LysoPI_18-1__Cp,LysoPI_18-1,LysoPI_18-1_m598.31_r2.99Cp,0.000671011,0.000276279,0.000501973,3.51E-05,0.000961231,0.000187743,0.00152111,0.000450423,0.000327301,0.000104008,0.000286937,0.000716394
LysoPI_18-0__Cp,LysoPI_18-0,LysoPI_18-0_m600.324_r3.14Cp,0.001195289,0.000310726,0.001584853,0.000319643,0.000913143,0.000140133,0.001725694,0.000737152,0.00024565,0.000203949,0.000319204,0.001067836
LysoPI_18-0__Cn,LysoPI_18-0,LysoPI_18-0_m600.33_r7.22Cn,0.090496127,0.152710365,0.188872556,0.729561922,0.05078642,0.064150313,0.06170708,0.376718118,0.148319154,0.06443016,0.0716216,0.071054994
LysoPS_24-2__Cp,LysoPS_24-2_,LysoPS_24-2__m604.365_r1.01Cp,0.006508495,0.00159467,0.003820505,0.00317617,0.002481101,0.002293704,0.009483319,0.004336617,0.004444584,0.001557282,0.002844655,0.004131697
OOB-PC__Cn,OOB-PC,OOB-PC_m605.37_r7.53Cn,0.065791108,0.077406936,0.112832863,0.059084381,0.107022741,0.094048871,0.081957064,0.142747186,0.12701452,0.062533456,0.056603135,0.08701524
"PE_14-1,12-0__Cn","PE_14-1,12-0_","PE_14-1,12-0__m605.405_r7.82Cn",0.026361999,0.030818769,0.060153118,0.060795493,0.029086733,0.027846497,0.029086927,0.121886368,0.064641958,0.029254699,0.045367154,0.033729839
OA-PA__Cn,OA-PA,OA-PA_m606.351_r5.19Cn,0.005692554,0.007841692,0.008600881,0.008443025,0.003154744,0.005140484,0.006691236,0.014464789,0.009891254,0.003895893,0.007388874,0.005627827
Hexadecyl-pentacosanoate__Cn,Hexadecyl-pentacosanoate,Hexadecyl-pentacosanoate_m606.631_r8.92Cn,0.043208998,0.032302579,0.0418339,0.03458478,0.04699722,0.043762664,0.067676846,0.05785056,0.055127548,0.025044428,0.0450752,0.049049727
OOB-PS__PKHdiA-PE__Cn,OOB-PS_PKHdiA-PE_,OOB-PS__PKHdiA-PE__m607.311_r6.69Cn,0.019214661,0.01864942,0.024764758,0.013620398,0.024687568,0.021090142,0.023178279,0.023182668,0.027056688,0.020145566,0.022753771,0.024418287
PHOOA-PE__Cn,PHOOA-PE,PHOOA-PE_m607.349_r7.23Cn,0.165673525,0.219283363,0.208574617,0.165550523,0.256057467,0.216995188,0.166504308,0.284965609,0.268420222,0.159583882,0.19604444,0.229669766
PON-PE__Cn,PON-PE,PON-PE_m607.384_r7.54Cn,0.323194395,0.393221326,0.507082806,0.349441439,0.51029618,0.416216823,0.41187795,0.724741647,0.729595356,0.367532267,0.272777328,0.525954588
"PC_16-0,5-0-COOH__Cn","PC_16-0,5-0-COOH_","PC_16-0,5-0-COOH___m609.362_r7.24Cn",0.064089933,0.07834624,0.094183116,0.029078239,0.095485217,0.083505948,0.073746292,0.118480687,0.126769511,0.07662685,0.0686532,0.093515873
"DG_16-1,20-5,0-0__Cn","DG_16-1,20-5,0-0_","DG_16-1,20-5,0-0____m612.476_r7.2Cn",0.082927195,0.165020428,0.24500995,0.053377673,0.285449844,0.250964022,0.173240333,0.199774375,0.458186835,0.225158881,0.042823511,0.260091173
"PA_16-1,14-2__Cn","PA_16-1,14-2_","PA_16-1,14-2____m614.393_r7.7Cn",0.006223137,0.006704456,0.012186258,0.00789259,0.009945834,0.005649815,0.009883628,0.022965871,0.017823056,0.008142051,0.01184963,0.013038162
OKOHA-PE__Cn,OKOHA-PE,OKOHA-PE_m617.333_r7.23Cn,0.071158954,0.133937314,0.161697178,0.565149804,0.062452839,0.049453017,0.057707197,0.315543573,0.125419826,0.055347927,0.069431903,0.064126128
OOV-PC__Cn,OOV-PC,OOV-PC_m619.385_r7.53Cn,0.09819689,0.120374832,0.149308783,0.100619345,0.135362912,0.120897751,0.113899427,0.2242086,0.162222335,0.086194902,0.083545385,0.136962973
"Cer 22-1, Cer_18-1,22-1__Cp","Cer 22-1, Cer_18-1,22-1","Cer 22-1, Cer_18-1,22-1_m619.589_r11.93Cp",0.030944844,0.022808938,0.045478127,0.040372863,0.029940777,0.023505892,0.043010779,0.093201087,0.048984334,0.028866736,0.032765414,0.042582448
Hexacosyl-palmitate__Cn,Hexacosyl-palmitate,Hexacosyl-palmitate_m620.647_r8.92Cn,0.08059649,0.063453155,0.084037236,0.06793609,0.087141085,0.080916239,0.119655746,0.114804209,0.106434,0.046752965,0.084625547,0.094750622
OS-PC__Cn,OS-PC,OS-PC_m621.364_r7.24Cn,0.070910221,0.07865406,0.089707796,0.065190631,0.100998969,0.084641411,0.085096464,0.123938864,0.127842086,0.067051192,0.078677685,0.103936469
LysoPI_20-3__Cn,LysoPI_20-3,LysoPI_20-3_m622.313_r6.8Cn,0.016666332,0.015758978,0.025749449,0.014457326,0.016966416,0.017556878,0.020029755,0.026068925,0.028852679,0.017301563,0.021675201,0.024212808
OS-PS__Cn,OS-PS,OS-PS_m623.305_r4.68Cn,0.013949786,0.01035943,0.032690372,0.02030633,0.010652947,0.010105065,0.013591687,0.056098331,0.013692053,0.007320899,0.012918823,0.011928933
OKOOA-PE__Cn,OKOOA-PE,OKOOA-PE_m631.345_r6.97Cn,0.006079383,0.005015334,0.009997516,0.006247056,0.007874669,0.005675198,0.007381731,0.01326692,0.011342057,0.005731019,0.007401634,0.009365643
"PA_15-0,16-1__Cn","PA_15-0,16-1_","PA_15-0,16-1__m632.441_r8.01Cn",0.004535786,0.009851698,0.013692462,0.01086882,0.010489626,0.007187771,0.00553612,0.016741616,0.012405544,0.007857346,0.011169497,0.01157753
OKHdiA-PE__Cn,OKHdiA-PE,OKHdiA-PE_m633.33_r6.91Cn,0.066670607,0.087002862,0.120235972,0.05484587,0.098552769,0.095442268,0.112246119,0.091099881,0.143542443,0.080794529,0.100874809,0.13484819
OHOOA-PE__Cn,OHOOA-PE,OHOOA-PE_m633.365_r7.25Cn,0.035651289,0.049670053,0.058362764,0.033081738,0.060195403,0.04918249,0.046030597,0.070260034,0.076135643,0.031802466,0.056860265,0.059780427
OON-PE__Cn,OON-PE,OON-PE_m633.4_r7.54Cn,0.152952012,0.181109569,0.240812753,0.170272448,0.24533433,0.223009612,0.188627746,0.343107068,0.316703762,0.162346751,0.129358166,0.234410824
"PE_14-0,14-1__Cp","PE_14-0,14-1_","PE_14-0,14-1__m633.438_r10Cp",0.001673477,0.001951334,0.003093378,0.004219458,0.002065382,0.001359498,0.001802458,0.00437349,0.002436925,0.002054122,0.001644188,0.002135073
OHHdiA-PE__Cn,OHHdiA-PE,OHHdiA-PE_m635.344_r7.21Cn,0.037851495,0.065519642,0.046218931,0.048235522,0.073807611,0.061932679,0.058198289,0.081517941,0.088178558,0.053042486,0.101882038,0.081021137
PHOHA-PC__Cn,PHOHA-PC_,PHOHA-PC__m635.375_r7.19Cn,0.002505622,0.00397823,0.005872131,0.00255796,0.003841527,0.003989384,0.004472212,0.007211695,0.005345591,0.003111749,0.005666308,0.005260055
"PE_14-0,14-0__Cp","PE_14-0,14-0_","PE_14-0,14-0__m635.451_r9.63Cp",0.007926129,0.004688093,0.009366407,0.010776996,0.006170656,0.005343028,0.012496897,0.020351677,0.008201466,0.006299163,0.008672278,0.0105518
PHHdiA-PG__Cn,PHHdiA-PG,PHHdiA-PG_m640.323_r4.04Cn,0.097650799,0.053771511,0.066245119,0.07049059,0.11593207,0.074151354,0.241163967,0.062719145,0.121244454,0.061726147,0.091044362,0.158627855
"PA_20-3,12-0__Cn","PA_20-3,12-0_","PA_20-3,12-0____m642.427_r7.83Cn",0.079656198,0.110361488,0.123782074,0.084842072,0.108041764,0.127188089,0.108383361,0.232338358,0.168107661,0.087000003,0.170909107,0.118898903
"SM_18-1,12-0__Cp","SM_18-1,12-0","SM_18-1,12-0_m646.503_r9.81Cp",0.0147263,0.016823511,0.026549077,0.029320577,0.020938033,0.014131361,0.011487192,0.030324446,0.015162715,0.013043402,0.010309029,0.016445399
OKODiA-PE__Cn,OKODiA-PE,OKODiA-PE_m647.343_r7Cn,0.049568702,0.05643448,0.081907815,0.042117943,0.067036992,0.06509295,0.078638813,0.071506739,0.098405838,0.057548367,0.082574807,0.092239587
PKOOA-PC__Cn,PKOOA-PC,PKOOA-PC_m647.379_r7.25Cn,0.063510117,0.080253979,0.094714969,0.04987074,0.096251948,0.086578111,0.080603642,0.116375301,0.119091287,0.062256761,0.057655594,0.091940556
PHOOA-PS__Cn,PHOOA-PS,PHOOA-PS_m651.339_r6.82Cn,0.010804954,0.010804803,0.022825943,0.014041104,0.015033106,0.011541547,0.013450362,0.01475919,0.01962641,0.006807133,0.0439217,0.018333861
"PE_16-1,14-1__Cp","PE_16-1,14-1","PE_16-1,14-1_m659.452_r10.1Cp",0.004017566,0.004252069,0.005715484,0.006817662,0.004516961,0.003113424,0.003238644,0.007229123,0.004120266,0.002993027,0.002419135,0.003356019
"C1P C18-1, Ceramide-1-P__Cp","C1P C18-1, Ceramide-1-P","C1P C18-1, Ceramide-1-P_m660.517_r10.01Cp",0.00317637,0.003161217,0.006580117,0.005380985,0.004285595,0.003574343,0.003490418,0.007760463,0.004622281,0.00285135,0.002682108,0.0040812
OKOHA-PS__Cn,OKOHA-PS,OKOHA-PS_m661.323_r6.93Cn,0.065145355,0.074961558,0.125337198,0.063601422,0.082980389,0.082632269,0.097196758,0.112754165,0.129843386,0.071480728,0.107288621,0.121628299
"PE_15-0,15-0__Cp","PE_15-0,15-0_","PE_15-0,15-0__m663.483_r10Cp",0.031271819,0.022813122,0.038133816,0.039773356,0.026165275,0.020893621,0.041945039,0.07632281,0.040992526,0.029135398,0.028947377,0.040335883
"PC_16-0,9-0-COOH__Cn","PC_16-0,9-0-COOH","PC_16-0,9-0-COOH_m665.424_r7.55Cn",0.133204552,0.153160376,0.211244112,0.131900336,0.20465524,0.185834881,0.167223032,0.269999626,0.271635294,0.132172836,0.125882745,0.213920501
"PS_15-0,12-0__Cn","PS_15-0,12-0_","PS_15-0,12-0____m665.424_r7.55Cn",0.137639523,0.153862151,0.212728409,0.132028931,0.229229947,0.186782635,0.168563632,0.274786776,0.272597881,0.132634848,0.13017619,0.214949845
"DG_18-1,22-5,0-0__Cn","DG_18-1,22-5,0-0_","DG_18-1,22-5,0-0___m668.54_r7.55Cn",2.555186953,3.905279959,6.096062501,2.169826331,5.804133239,5.49726855,4.322220574,5.705305623,9.177933463,4.321522335,4.296972953,6.622107606
"GalCer C14, Galactosylceramide_18-1,14-0__Cp","GalCer C14, Galactosylceramide_18-1,14-0","GalCer C14, Galactosylceramide_18-1,14-0_m671.534_r10.35Cp",0.000949063,0.000256627,0.000893263,0.000535397,0.000388642,0.000386532,0.001245326,0.002287249,0.001207184,0.000565761,0.000893102,0.001193079
PS-PI__Cn,PS-PI,PS-PI_m672.313_r4.04Cn,0.019901116,0.010451216,0.015490598,0.015000378,0.020709894,0.011382097,0.045121921,0.023378341,0.022504455,0.011394443,0.019193283,0.026341513
"SM_18-1,14-0__Cp","SM_18-1,14-0_","SM_18-1,14-0__m674.536_r10.19Cp",0.678697641,0.734431218,1.328078856,1.216804769,1.005581142,0.746393716,0.654057305,1.837612862,1.051934108,0.670199943,0.726827112,1.040876004
OHOOA-PC__Cn,OHOOA-PC,OHOOA-PC_m675.409_r7.23Cn,0.056876309,0.056148278,0.088538346,0.035410165,0.094294459,0.071846482,0.073614608,0.10035303,0.125872412,0.055893118,0.05507569,0.076360641
"PE_16-1,15-0__Cp","PE_16-1,15-0_","PE_16-1,15-0__m675.483_r10Cp",0.489734378,0.449294068,0.771570633,0.776275307,0.503379387,0.386516809,0.523426538,1.088621491,0.532799496,0.475698049,0.425350114,0.582516911
OHHdiA-PS__Cn,OHHdiA-PS,OHHdiA-PS_m679.334_r6.93Cn,0.020081586,0.025514797,0.039055148,0.018058014,0.027130713,0.019096508,0.034211914,0.032645316,0.042504193,0.029084197,0.035991606,0.043760985
PHDdiA-PE__Cn,PHDdiA-PE,PHDdiA-PE_m679.405_r7.23Cn,0.077373677,0.109328302,0.133899318,0.105097283,0.117016448,0.095447655,0.09378963,0.166751838,0.16122374,0.073955943,0.067569274,0.10653025
"PE_16-1,16-1__Cp","PE_16-1,16-1","PE_16-1,16-1_m687.482_r9.82Cp",0.024156804,0.017341926,0.028250899,0.029145264,0.021074279,0.014822539,0.030640947,0.050344904,0.025306498,0.01690481,0.018626461,0.026637807
"PE_18-1,14-0__Cp","PE_18-1,14-0","PE_18-1,14-0_m689.499_r10.09Cp",0.091095979,0.054382935,0.100471429,0.091810115,0.068172499,0.053924808,0.110873941,0.182100589,0.102603342,0.065129219,0.070691944,0.097023072
OHODiA-PC__Cn,OHODiA-PC,OHODiA-PC_m691.404_r7.24Cn,0.105698764,0.152596314,0.157284253,0.080030835,0.152701036,0.148933988,0.135935473,0.229370311,0.274953746,0.113421781,0.321099416,0.204879566
"PE_16-0,16-0__Cp","PE_16-0,16-0_","PE_16-0,16-0__m691.516_r10.38Cp",0.041817922,0.028420789,0.069203606,0.051955105,0.040195024,0.03490358,0.050438034,0.115757519,0.080529932,0.041071417,0.054822192,0.065496645
"PG_18-1,12-0__Cn","PG_18-1,12-0_","PG_18-1,12-0____m692.464_r7.86Cn",0.296412952,0.456901656,0.562666086,0.464663631,0.483976859,0.407292317,0.377125123,0.758958665,0.749574421,0.496325571,0.565762416,0.591790878
"PE_15-0,18-3__Cp","PE_15-0,18-3_","PE_15-0,18-3__m699.482_r9.94Cp",0.080081702,0.078426251,0.129565634,0.124198551,0.094935831,0.069846676,0.079739905,0.170257383,0.085295224,0.067080224,0.071352657,0.092553505
"GalCer C16, Galactosylceramide_18-1,16-0__Cp","GalCer C16, Galactosylceramide_18-1,16-0","GalCer C16, Galactosylceramide_18-1,16-0_m699.56_r9.99Cp",0.000308524,0.000240409,0.001522431,0.001213138,8.03E-05,0.000532134,0.000587218,0.006190747,0.002519227,0.001478133,0.001688356,0.002640476
"PC_16-1,14-1__Cp","PC_16-1,14-1","PC_16-1,14-1_m701.499_r10.11Cp",1.49119922,1.247972444,2.342003043,2.019046924,1.543401356,1.228924003,1.540789425,3.075533042,1.55377285,1.223297104,1.265970931,1.664467795
"PE_18-1,P-16-0__Cn","PE_18-1,P-16-0_","PE_18-1,P-16-0____m701.537_r8.41Cn",8.29E-05,0.000323274,0.000917561,0.000184733,0.000591668,0.000543413,0.00020188,0.000758871,0.000839395,0.000521511,0.000574713,0.000479869
"PE_16-0,18-3__Cp","PE_16-0,18-3_","PE_16-0,18-3__m713.499_r9.87Cp",0.014097598,0.014577858,0.021989577,0.025364438,0.01691858,0.012620177,0.010245991,0.033452982,0.013792215,0.011012977,0.010020679,0.015463874
"PE_16-1,18-1__Cp","PE_16-1,18-1_","PE_16-1,18-1__m715.515_r10.13Cp",0.087992422,0.066536585,0.113807039,0.10773641,0.085777759,0.070292732,0.102179408,0.19910789,0.11000544,0.067521691,0.084011902,0.10964294
"PA_18-1, 20-4__Cp","PA_18-1, 20-4","PA_18-1, 20-4_m722.499_r7.25Cp",0.086601017,0.010668297,0.022013525,0.055421679,0.043073442,0.032845364,0.014451788,0.03980432,0.143735487,0.014020054,0.150590968,0.447337249
"PE_15-0,20-4__Cp","PE_15-0,20-4_","PE_15-0,20-4__m725.498_r10.07Cp",0.099634743,0.087148187,0.173237532,0.138816495,0.119293199,0.091662716,0.038695508,0.205341844,0.103847463,0.080402439,0.091768673,0.117251888
"PE_15-0,20-3__Cp","PE_15-0,20-3","PE_15-0,20-3_m727.514_r10.22Cp",1.138741526,0.901559268,1.777167811,1.349855116,1.203827334,0.997819507,1.190487285,2.211167933,1.149022856,0.792709457,0.967990986,1.219331572
"PG_20-3,13-0__Cn","PG_20-3,13-0_","PG_20-3,13-0____m730.481_r7.75Cn",0.00524106,0.007393138,0.009566892,0.007253302,0.008404215,0.006243134,0.00776869,0.01212005,0.015016582,0.007346206,0.011126627,0.012259388
"PS_18-1,14-1__Cp","PS_18-1,14-1","PS_18-1,14-1_m731.476_r3.45Cp",0.003596715,0.0029806,0.004863393,0.004385189,0.004537465,0.003663234,0.004479692,0.009700709,0.00577155,0.002804349,0.000867181,0.003581763
"PG_16-1,18-__Cn","PG_16-1,18-_","PG_16-1,18-___m746.51_r7.89Cn",2.76769039,2.127688543,3.751500544,2.158674864,2.576862611,2.661469351,3.558119794,3.799797568,3.22789973,2.209096474,4.410276907,3.171640473
OHDdiA-PS__Cn,OHDdiA-PS,OHDdiA-PS_m749.412_r8.63Cn,0.013103787,0.017603012,0.024756096,0.015556826,0.014523419,0.019008335,0.018180631,0.032529224,0.047303522,0.014614798,0.029561485,0.028894547
"SM_18-1,20-0__Cp","SM_18-1,20-0","SM_18-1,20-0_m758.629_r11.34Cp",0.002891155,0.003245272,0.007062981,0.005145278,0.005366785,0.004598741,0.003628249,0.008024181,0.005232586,0.002297801,0.004380145,0.005340474
"SM_18-0,20-0__Cp","SM_18-0,20-0","SM_18-0,20-0_m760.644_r11.64Cp",0.00663365,0.008506346,0.016901357,0.012675122,0.013066505,0.011958717,0.007868654,0.01954298,0.011392456,0.005063915,0.010270191,0.010993725
"PS_16-0,18-1__Cp","PS_16-0,18-1_","PS_16-0,18-1__m761.518_r9.23Cp",0.032917973,0.018773575,0.03173676,0.031137905,0.027232848,0.023054169,0.03070986,0.042034359,0.022624056,0.016558362,0.017194435,0.026010262
"PG_16-1,20-4__Cp","PG_16-1,20-4_","PG_16-1,20-4__m768.49_r3.02Cp",0.002000626,0.001196636,0.003241006,0.00408787,0.002881535,0.00134944,0.002455827,0.003013557,0.001674151,0.000609882,0.000812701,0.00200061
"PS_22-2,13-0__Cn","PS_22-2,13-0_","PS_22-2,13-0____m773.525_r8.03Cn",0.915936871,0.775181223,1.288060607,0.75785139,1.003442162,0.958296136,1.303576688,1.567645581,1.408463353,0.635041603,1.44707741,1.220392756
"GalCer C22, Galactosylceramide_18-1,22-0__Cp","GalCer C22, Galactosylceramide_18-1,22-0","GalCer C22, Galactosylceramide_18-1,22-0_m783.654_r11.87Cp",0.022398202,0.00235482,0.009892765,0.012059976,0.003301713,0.003319864,0.025743455,0.014882504,0.006719934,0.00420031,0.009807051,0.008291018
"SM_18-1,22-0,__Cp","SM_18-1,22-0,","SM_18-1,22-0,_m786.663_r11.83Cp",0.325890637,0.270223067,0.555829602,0.443801888,0.396464437,0.322817226,0.334778211,0.710141481,0.384985086,0.224992307,0.310800424,0.379593649
"PE_22-6,18-1__Cn","PE_22-6,18-1_","PE_22-6,18-1____m789.54_r7.92Cn",4.008666434,4.00805997,6.052360049,3.705463404,4.821875768,4.627009755,5.352264311,6.335099055,5.540235401,3.715727794,6.669871406,5.233749229
"PS_16-1,20-0__Cp","PS_16-1,20-0_","PS_16-1,20-0__m789.553_r10.07Cp",0.057074991,0.028301026,0.070273592,0.045904636,0.048611214,0.03852597,0.062615702,0.09470708,0.043750199,0.030690016,0.040887959,0.05113084
"PS_22-4,15-0__Cn","PS_22-4,15-0_","PS_22-4,15-0____m797.53_r7.91Cn",2.333245477,2.917451301,3.945183997,2.829898137,3.600193778,3.243612631,2.970104198,4.60900575,4.108902857,2.4901435,4.351842879,3.872594863
"GalCer C24-1, Galactosylceramide _18-1,24-1__Cp","GalCer C24-1, Galactosylceramide _18-1,24-1","GalCer C24-1, Galactosylceramide _18-1,24-1_m809.674_r11.88Cp",0.066348748,0.027462586,0.058906901,0.085432564,0.034768102,0.028437493,0.085863585,0.112602872,0.056675175,0.037186155,0.054697772,0.063400676
"SM_18-1,24-0, __Cp","SM_18-1,24-0, ","SM_18-1,24-0, _m814.692_r12.04Cp",0.838073897,0.59136674,1.202570647,1.058999042,0.796108551,0.715306298,0.816395982,1.604962179,0.784413942,0.570735665,0.708408228,0.893766442
"PS_18-1,20-1__Cp","PS_18-1,20-1","PS_18-1,20-1_m815.567_r10.05Cp",0.0574426,0.032476635,0.072953038,0.050279636,0.052707564,0.049106924,0.06136903,0.108981771,0.055558027,0.032275457,0.043155425,0.062722366
"SM_18-1,26-1__Cp","SM_18-1,26-1","SM_18-1,26-1_m840.708_r12.03Cp",0.249245481,0.193218427,0.314691387,0.346424894,0.24398477,0.187754269,0.230860287,0.475657736,0.228774074,0.174582401,0.180552152,0.250402383
"PI_18-2,18-2__Cp","PI_18-2,18-2_","PI_18-2,18-2__m858.529_r7.1Cp",0.007485229,0.002003038,0.002291233,0.006433623,0.004676094,0.00432993,0.002529771,0.006051284,0.013387698,0.00276158,0.012628844,0.029141396
"PI_22-2,14-0__Cn","PI_22-2,14-0_","PI_22-2,14-0____m862.558_r8.08Cn",2.212828598,3.165966053,4.60993896,3.219559267,3.678212073,3.113487817,3.199617983,7.067780054,6.58929062,3.214569427,5.080882946,5.384032757
"PS_22-6,22-6__Cp","PS_22-6,22-6","PS_22-6,22-6_m879.503_r8Cp",0.000761252,0.000670279,0.001092632,0.003390676,0.000249599,0.000449841,0.000684728,0.00334948,0.000835458,0.000580724,0.000750496,0.000740249
"PI_18-1,20-4__Cp","PI_18-1,20-4","PI_18-1,20-4_m884.541_r2.73Cp",0.020853012,0.000485861,0.044584488,0.081610533,0.000434841,0.003601634,0.001431886,0.158718996,0.000984443,0.000600394,0.00060778,0.001961034
"PI_22-5,16-0__Cn","PI_22-5,16-0_","PI_22-5,16-0____m884.544_r7.94Cn",0.001856212,0.002218043,0.003812769,0.001492808,0.002016812,0.001813201,0.003574586,0.005335374,0.005271136,0.002826862,0.00368658,0.00372565
"PI_22-6,18-0__Cn","PI_22-6,18-0_","PI_22-6,18-0____m910.557_r8.04Cn",0.050638066,0.084846941,0.114014614,0.075238791,0.107802984,0.088077334,0.072573545,0.144585781,0.138392985,0.062029042,0.118061682,0.116778571
HMG-CoA__Cp,HMG-CoA,HMG-CoA_m911.155_r8.6Cp,0.000363259,0.000109629,0.001550096,0.001260019,0.000434192,0.000176374,0.000140598,0.001933925,0.000370738,0.000145738,0.00020165,0.000388816
"PIP_18-0,16-0__Cp","PIP_18-0,16-0","PIP_18-0,16-0_m918.522_r3.64Cp",0.000382656,0.000155161,0.000379113,0.000317025,0.000380412,0.000176287,0.000717509,0.000283553,0.000185589,9.24E-05,0.000215179,0.000384547
"LacCer C24-1, Lactosylceramide _18-1,24-1__Cp","LacCer C24-1, Lactosylceramide _18-1,24-1_","LacCer C24-1, Lactosylceramide _18-1,24-1__m971.728_r11.75Cp",0.013307241,0.000509082,0.001285818,0.000778098,0.000310078,0.000376684,0.016332693,0.004083873,0.00147812,0.001067542,0.001184154,0.001763517
"LacCer C24, Lactosylceramide _18-1,24-0__Cp","LacCer C24, Lactosylceramide _18-1,24-0_","LacCer C24, Lactosylceramide _18-1,24-0__m973.748_r12.15Cp",0.005953697,0.038581404,0.039193598,0.058905427,0.043232588,0.027664571,0.007251618,0.068957753,0.031431918,0.018073153,0.021882904,0.039530049
PIP_40-8-OH__Cp,PIP_40-8-OH_,PIP_40-8-OH__m1001.474_r9.16Cp,0.001647605,0.0042094,0.002953689,0.02180417,0.001835166,0.001741405,0.002361618,0.012508157,0.003065008,0.001826611,0.004064982,0.003350862
Internal standard,"3-PHENYL-N-2-PYRIDINYL_ACRYLAMIDE_NP,","3-PHENYL-N-__2-PYRIDINYL_ACRYLAMIDE_NP,_m224.095_r2.26Cp",1,1,1,1,1,1,1,1,1,1,1,1
